# length,centers=4880,roads=4879,wlines=4879,trees=4879
# center_x,center_y,road_x0,road_y0,road_x1,road_y1,line_x0,line_y0,line_x1,line_y1,tree_fg,tree_x,tree_y,tree_r,tree_col
138527983.11125493,46124884.82960358,138528016.15373462,46124862.28643311,138527950.06877524,46124907.37277406,138527984.76337892,46124883.70244506,138527981.45913094,46124885.956762105,0,0,0,0,0
138527968.2377961,46124863.02894506,138528000.65853006,46124839.60041522,138527935.81706214,46124886.457474895,138527969.8588328,46124861.85751857,138527966.6167594,46124864.20037155,1,138527784.25013095,46124995.98585187,43,2
138527952.71455324,46124841.547660045,138527984.5989338,46124817.394269444,138527920.8301727,46124865.70105065,138527954.30877227,46124840.33999051,138527951.1203342,46124842.75532958,1,138528150.3977126,46124691.79663832,25,4
138527936.64587682,46124820.335739866,138527968.0872548,46124795.608432055,138527905.20449886,46124845.06304768,138527938.21794572,46124819.09937447,138527935.07380792,46124821.57210526,0,0,0,0,0
138527920.1361172,46124799.34317583,138527951.23350412,46124774.18462805,138527889.03873026,46124824.50172361,138527921.69098654,46124798.08524844,138527918.58124784,46124800.60110322,0,0,0,0,0
138527903.28962487,46124778.51995922,138527934.1458908,46124753.06625906,138527872.43335894,46124803.97365938,138527904.83243817,46124777.24727421,138527901.74681157,46124779.792644225,1,138527726.6375023,46124924.24239263,32,1
138527886.21075022,46124757.8160814,138527916.93121615,46124732.19864645,138527855.4902843,46124783.433516346,138527887.7467735,46124756.53520965,138527884.67472693,46124759.096953146,0,0,0,0,0
138527869.00384372,46124737.18153365,138527899.69515032,46124711.529171206,138527838.31253713,46124762.83389609,138527870.53840905,46124735.89891553,138527867.4692784,46124738.46415177,0,0,0,0,0
138527851.77325574,46124716.56630727,138527882.54238757,46124691.00734551,138527821.0041239,46124742.125269026,138527853.31171232,46124715.28835918,138527850.23479915,46124717.84425536,0,0,0,0,0
138527834.62333676,46124695.9203936,138527865.57667714,46124670.58483124,138527803.66999638,46124721.255955964,138527836.1710038,46124694.65361548,138527833.07566974,46124697.18717172,0,0,0,0,0
138527817.65843716,46124675.19378394,138527848.90071982,46124650.215397805,138527786.4161545,46124700.17217007,138527819.22055128,46124673.94486463,138527816.09632304,46124676.44270325,0,0,0,0,0
138527800.9828972,46124654.33647432,138527832.58666056,46124629.81705056,138527769.37913382,46124678.85589808,138527802.56308535,46124653.11050314,138527799.40270904,46124655.56244551,0,0,0,0,0
138527784.67132705,46124633.31204048,138527816.61371478,46124609.23541558,138527752.72893932,46124657.38866538,138527786.26844645,46124632.10820923,138527783.07420766,46124634.515871726,1,138527934.80054936,46124520.15190346,43,2
138527768.70339143,46124612.127427064,138527800.94363222,46124588.45113355,138527736.46315065,46124635.80372058,138527770.31540346,46124610.94361239,138527767.0913794,46124613.31124174,0,0,0,0,0
138527753.03984153,46124590.79821774,138527785.53816378,46124567.477431916,138527720.54151928,46124614.11900357,138527754.66475764,46124589.632178456,138527751.41492543,46124591.96425703,0,0,0,0,0
138527737.6414285,46124569.339996204,138527770.35905597,46124546.32789389,138527704.92380103,46124592.35209852,138527739.27730986,46124568.18939109,138527736.00554714,46124570.490601316,0,0,0,0,0
138527722.4689036,46124547.76834618,138527755.368007,46124525.01644525,138527689.5698002,46124570.52024712,138527724.11385876,46124546.63075113,138527720.82394844,46124548.90594123,1,138527968.38970146,46124377.69788671,27,1
138527707.483018,46124526.09885136,138527740.52662927,46124503.55733956,138527674.43940675,46124548.640363164,138527709.13519856,46124524.97177577,138527705.83083746,46124527.22592695,0,0,0,0,0
138527692.64452294,46124504.34709543,138527725.79641876,46124481.96514281,138527659.4926271,46124526.72904805,138527694.30211774,46124503.2279978,138527690.98692814,46124505.46619306,1,138527873.32235518,46124382.36545364,26,2
138527677.91416955,46124482.52866211,138527711.13873094,46124460.25471946,138527644.68960816,46124504.80260476,138527679.5753976,46124481.414964974,138527676.2529415,46124483.64235924,1,138527405.47276625,46124665.17499184,32,4
138527663.25270918,46124460.65913512,138527696.51476306,46124438.441219576,138527629.9906553,46124482.87705066,138527664.91581187,46124459.54823934,138527661.5896065,46124461.77003089,1,138527894.42398372,46124306.2446221,27,0
138527648.62089288,46124438.75409811,138527681.88554323,46124416.540070154,138527615.35624254,46124460.968126066,138527650.2841254,46124437.64339671,138527646.95766038,46124439.86479951,0,0,0,0,0
138527633.97947195,46124416.829134814,138527667.21993655,46124394.57893228,138527600.73900735,46124439.07933735,138527635.64149517,46124415.716624685,138527632.31744874,46124417.941644944,0,0,0,0,0
138527619.29794738,46124394.895819955,138527652.55323923,46124372.66778439,138527586.04265553,46124417.12385552,138527620.96071196,46124393.78441817,138527617.6351828,46124396.007221736,0,0,0,0,0
138527604.61772266,46124372.93278342,138527637.95873675,46124350.833535045,138527571.27670857,46124395.03203179,138527606.28477338,46124371.827821,138527602.95067194,46124374.03774583,1,138527922.190882,46124162.43744267,38,5
138527590.0154956,46124350.90248401,138527623.51210818,46124329.03980012,138527556.51888302,46124372.76516789,138527591.6903262,46124349.80934981,138527588.34066498,46124351.9956182,1,138527292.73305908,46124544.93380349,28,4
138527575.56820744,46124328.76726875,138527609.2881532,46124307.25064127,138527541.84826168,46124350.28389622,138527577.25420472,46124327.69143737,138527573.88221017,46124329.84310012,1,138527702.01800403,46124248.0799157,45,4
138527561.35279962,46124306.48948469,138527595.36068696,46124285.43090924,138527527.3449123,46124327.54806014,138527563.053194,46124305.436555915,138527559.65240526,46124307.542413466,1,138527285.88891232,46124477.06394582,33,2
138527547.44621363,46124284.0314789,138527581.8024203,46124263.54609228,138527513.09000698,46124304.516865514,138527549.16402397,46124283.00720957,138527545.7284033,46124285.055748224,0,0,0,0,0
138527533.92539093,46124261.3555984,138527568.68481585,46124241.56210505,138527499.165966,46124281.14909174,138527535.66336218,46124260.36592373,138527532.18741968,46124262.34527306,0,0,0,0,0
138527520.86727285,46124238.42419024,138527556.0779343,46124219.44500899,138527485.6566114,46124257.40337148,138527522.62780592,46124237.47523118,138527519.1067398,46124239.3731493,0,0,0,0,0
